question,option_1,option_2,option_3,option_4,option_5,answer,wiki_text,page_id,page_title,stem_label
What are some risks that a software company may face?,Unexpected changes in costs from those budgeted,Privacy and intellectual property right problems,Unit sales that are less than forecasted,All of the above,None of the above,option_4,"Risk analysis is a technique used to identify and assess factors that may jeopardize the success of a project or achieving a goal.
This technique also helps to define preventive measures to reduce the probability of these factors from occurring and identify countermeasures to successfully deal with these constraints when they develop to avert possible negative effects on the competitiveness of the company.
One of the more popular methods to perform a risk analysis in the computer field is called facilitated risk analysis process (FRAP).

Facilitated risk analysis process
FRAP analyzes one system, application or segment of business processes at a time.
FRAP assumes that additional efforts to develop precisely quantified risks are not cost-effective because:

such estimates are time-consuming
risk documentation becomes too voluminous for practical use
specific loss estimates are generally not needed to determine if controls are needed.
without assumptions there is little risk analysisAfter identifying and categorizing risks, a team identifies the controls that could mitigate the risk. The decision for what controls are needed lies with the business manager. The team's conclusions as to what risks exist and what controls needed are documented along with a related action plan for control implementation.
Three of the most important risks a software company faces are: unexpected changes in revenue, unexpected changes in costs from those budgeted and the amount of specialization of the software planned. Risks that affect revenues can be: unanticipated competition, privacy, intellectual property right problems, and unit sales that are less than forecast. Unexpected development costs also create the risk that can be in the form of more rework than anticipated, security holes, and privacy invasions.Narrow specialization of software with a large amount of research and development expenditures can lead to both business and technological risks since specialization does not necessarily lead to lower unit costs of software. Combined with the decrease in the potential customer base, specialization risk can be significant for a software firm. After probabilities of scenarios have been calculated with risk analysis, the process of risk management can be applied to help manage the risk.
Methods like applied information economics add to and improve on risk analysis methods by introducing procedures to adjust subjective probabilities, compute the value of additional information and to use the results in part of a larger portfolio management problem.

See also
Benefit risk
Optimism bias
Reference class forecasting
Extreme risk
Risk management
Peren–Clement index

References
Doug Hubbard (1998).",1630795,Risk analysis (business),S
What is one risk associated with narrow specialization of software?,Increased unit costs of software,Decreased potential customer base,Both A and B,None of the above,More rework than anticipated,option_3,"Risk analysis is a technique used to identify and assess factors that may jeopardize the success of a project or achieving a goal.
This technique also helps to define preventive measures to reduce the probability of these factors from occurring and identify countermeasures to successfully deal with these constraints when they develop to avert possible negative effects on the competitiveness of the company.
One of the more popular methods to perform a risk analysis in the computer field is called facilitated risk analysis process (FRAP).

Facilitated risk analysis process
FRAP analyzes one system, application or segment of business processes at a time.
FRAP assumes that additional efforts to develop precisely quantified risks are not cost-effective because:

such estimates are time-consuming
risk documentation becomes too voluminous for practical use
specific loss estimates are generally not needed to determine if controls are needed.
without assumptions there is little risk analysisAfter identifying and categorizing risks, a team identifies the controls that could mitigate the risk. The decision for what controls are needed lies with the business manager. The team's conclusions as to what risks exist and what controls needed are documented along with a related action plan for control implementation.
Three of the most important risks a software company faces are: unexpected changes in revenue, unexpected changes in costs from those budgeted and the amount of specialization of the software planned. Risks that affect revenues can be: unanticipated competition, privacy, intellectual property right problems, and unit sales that are less than forecast. Unexpected development costs also create the risk that can be in the form of more rework than anticipated, security holes, and privacy invasions.Narrow specialization of software with a large amount of research and development expenditures can lead to both business and technological risks since specialization does not necessarily lead to lower unit costs of software. Combined with the decrease in the potential customer base, specialization risk can be significant for a software firm. After probabilities of scenarios have been calculated with risk analysis, the process of risk management can be applied to help manage the risk.
Methods like applied information economics add to and improve on risk analysis methods by introducing procedures to adjust subjective probabilities, compute the value of additional information and to use the results in part of a larger portfolio management problem.

See also
Benefit risk
Optimism bias
Reference class forecasting
Extreme risk
Risk management
Peren–Clement index

References
Doug Hubbard (1998).",1630795,Risk analysis (business),S
What is one method that improves on risk analysis methods?,Benefit risk,Optimism bias,Reference class forecasting,Extreme risk,Applied information economics,option_5,"Risk analysis is a technique used to identify and assess factors that may jeopardize the success of a project or achieving a goal.
This technique also helps to define preventive measures to reduce the probability of these factors from occurring and identify countermeasures to successfully deal with these constraints when they develop to avert possible negative effects on the competitiveness of the company.
One of the more popular methods to perform a risk analysis in the computer field is called facilitated risk analysis process (FRAP).

Facilitated risk analysis process
FRAP analyzes one system, application or segment of business processes at a time.
FRAP assumes that additional efforts to develop precisely quantified risks are not cost-effective because:

such estimates are time-consuming
risk documentation becomes too voluminous for practical use
specific loss estimates are generally not needed to determine if controls are needed.
without assumptions there is little risk analysisAfter identifying and categorizing risks, a team identifies the controls that could mitigate the risk. The decision for what controls are needed lies with the business manager. The team's conclusions as to what risks exist and what controls needed are documented along with a related action plan for control implementation.
Three of the most important risks a software company faces are: unexpected changes in revenue, unexpected changes in costs from those budgeted and the amount of specialization of the software planned. Risks that affect revenues can be: unanticipated competition, privacy, intellectual property right problems, and unit sales that are less than forecast. Unexpected development costs also create the risk that can be in the form of more rework than anticipated, security holes, and privacy invasions.Narrow specialization of software with a large amount of research and development expenditures can lead to both business and technological risks since specialization does not necessarily lead to lower unit costs of software. Combined with the decrease in the potential customer base, specialization risk can be significant for a software firm. After probabilities of scenarios have been calculated with risk analysis, the process of risk management can be applied to help manage the risk.
Methods like applied information economics add to and improve on risk analysis methods by introducing procedures to adjust subjective probabilities, compute the value of additional information and to use the results in part of a larger portfolio management problem.

See also
Benefit risk
Optimism bias
Reference class forecasting
Extreme risk
Risk management
Peren–Clement index

References
Doug Hubbard (1998).",1630795,Risk analysis (business),S
"What is the origin of the word ""algebra""?",Greek,Persian,Arabic,Latin,Chinese,option_3,"Algebra can essentially be considered as doing computations similar to those of arithmetic but with non-numerical mathematical objects. However, until the 19th century, algebra consisted essentially of the theory of equations. For example, the fundamental theorem of algebra belongs to the theory of equations and is not, nowadays, considered as belonging to algebra (in fact, every proof must use the completeness of the real numbers, which is not an algebraic property).
This article describes the history of the theory of equations, called here ""algebra"", from the origins to the emergence of algebra as a separate area of mathematics.

Etymology
The word ""algebra"" is derived from the Arabic word الجبر al-jabr, and this comes from the treatise written in the year 830 by the medieval Persian mathematician, Muhammad ibn Mūsā al-Khwārizmī, whose Arabic title, Kitāb al-muḫtaṣar fī ḥisāb al-ğabr wa-l-muqābala, can be translated as The Compendious Book on Calculation by Completion and Balancing. The treatise provided for the systematic solution of linear and quadratic equations. According to one history, ""[i]t is not certain just what the terms al-jabr and muqabalah mean, but the usual interpretation is similar to that implied in the previous translation. The word 'al-jabr' presumably meant something like 'restoration' or 'completion' and seems to refer to the transposition of subtracted terms to the other side of an equation; the word 'muqabalah' is said to refer to 'reduction' or 'balancing'—that is, the cancellation of like terms on opposite sides of the equation. Arabic influence in Spain long after the time of al-Khwarizmi is found in Don Quixote, where the word 'algebrista' is used for a bone-setter, that is, a 'restorer'."" The term is used by al-Khwarizmi to describe the operations that he introduced, ""reduction"" and ""balancing"", referring to the transposition of subtracted terms to the other side of an equation, that is, the cancellation of like terms on opposite sides of the equation.

Stages of algebra
Algebraic expression
Algebra did not always make use of the symbolism that is now ubiquitous in mathematics; instead, it went through three distinct stages.",9550030,History of algebra,M
What did algebra consist of until the 19th century?,Solving equations,Computing arithmetic operations,Manipulating non-numerical mathematical objects,Exploring geometric properties,Calculating derivatives,option_1,"Algebra can essentially be considered as doing computations similar to those of arithmetic but with non-numerical mathematical objects. However, until the 19th century, algebra consisted essentially of the theory of equations. For example, the fundamental theorem of algebra belongs to the theory of equations and is not, nowadays, considered as belonging to algebra (in fact, every proof must use the completeness of the real numbers, which is not an algebraic property).
This article describes the history of the theory of equations, called here ""algebra"", from the origins to the emergence of algebra as a separate area of mathematics.

Etymology
The word ""algebra"" is derived from the Arabic word الجبر al-jabr, and this comes from the treatise written in the year 830 by the medieval Persian mathematician, Muhammad ibn Mūsā al-Khwārizmī, whose Arabic title, Kitāb al-muḫtaṣar fī ḥisāb al-ğabr wa-l-muqābala, can be translated as The Compendious Book on Calculation by Completion and Balancing. The treatise provided for the systematic solution of linear and quadratic equations. According to one history, ""[i]t is not certain just what the terms al-jabr and muqabalah mean, but the usual interpretation is similar to that implied in the previous translation. The word 'al-jabr' presumably meant something like 'restoration' or 'completion' and seems to refer to the transposition of subtracted terms to the other side of an equation; the word 'muqabalah' is said to refer to 'reduction' or 'balancing'—that is, the cancellation of like terms on opposite sides of the equation. Arabic influence in Spain long after the time of al-Khwarizmi is found in Don Quixote, where the word 'algebrista' is used for a bone-setter, that is, a 'restorer'."" The term is used by al-Khwarizmi to describe the operations that he introduced, ""reduction"" and ""balancing"", referring to the transposition of subtracted terms to the other side of an equation, that is, the cancellation of like terms on opposite sides of the equation.

Stages of algebra
Algebraic expression
Algebra did not always make use of the symbolism that is now ubiquitous in mathematics; instead, it went through three distinct stages.",9550030,History of algebra,M
"What does the word ""al-jabr"" mean?",Restoration,Completion,Reduction,Balancing,All of the above,option_5,"Algebra can essentially be considered as doing computations similar to those of arithmetic but with non-numerical mathematical objects. However, until the 19th century, algebra consisted essentially of the theory of equations. For example, the fundamental theorem of algebra belongs to the theory of equations and is not, nowadays, considered as belonging to algebra (in fact, every proof must use the completeness of the real numbers, which is not an algebraic property).
This article describes the history of the theory of equations, called here ""algebra"", from the origins to the emergence of algebra as a separate area of mathematics.

Etymology
The word ""algebra"" is derived from the Arabic word الجبر al-jabr, and this comes from the treatise written in the year 830 by the medieval Persian mathematician, Muhammad ibn Mūsā al-Khwārizmī, whose Arabic title, Kitāb al-muḫtaṣar fī ḥisāb al-ğabr wa-l-muqābala, can be translated as The Compendious Book on Calculation by Completion and Balancing. The treatise provided for the systematic solution of linear and quadratic equations. According to one history, ""[i]t is not certain just what the terms al-jabr and muqabalah mean, but the usual interpretation is similar to that implied in the previous translation. The word 'al-jabr' presumably meant something like 'restoration' or 'completion' and seems to refer to the transposition of subtracted terms to the other side of an equation; the word 'muqabalah' is said to refer to 'reduction' or 'balancing'—that is, the cancellation of like terms on opposite sides of the equation. Arabic influence in Spain long after the time of al-Khwarizmi is found in Don Quixote, where the word 'algebrista' is used for a bone-setter, that is, a 'restorer'."" The term is used by al-Khwarizmi to describe the operations that he introduced, ""reduction"" and ""balancing"", referring to the transposition of subtracted terms to the other side of an equation, that is, the cancellation of like terms on opposite sides of the equation.

Stages of algebra
Algebraic expression
Algebra did not always make use of the symbolism that is now ubiquitous in mathematics; instead, it went through three distinct stages.",9550030,History of algebra,M
What are the operations described by al-Khwarizmi in his treatise?,Addition and multiplication,Subtraction and division,Reduction and balancing,Transposition and cancellation,Restoration and completion,option_3,"Algebra can essentially be considered as doing computations similar to those of arithmetic but with non-numerical mathematical objects. However, until the 19th century, algebra consisted essentially of the theory of equations. For example, the fundamental theorem of algebra belongs to the theory of equations and is not, nowadays, considered as belonging to algebra (in fact, every proof must use the completeness of the real numbers, which is not an algebraic property).
This article describes the history of the theory of equations, called here ""algebra"", from the origins to the emergence of algebra as a separate area of mathematics.

Etymology
The word ""algebra"" is derived from the Arabic word الجبر al-jabr, and this comes from the treatise written in the year 830 by the medieval Persian mathematician, Muhammad ibn Mūsā al-Khwārizmī, whose Arabic title, Kitāb al-muḫtaṣar fī ḥisāb al-ğabr wa-l-muqābala, can be translated as The Compendious Book on Calculation by Completion and Balancing. The treatise provided for the systematic solution of linear and quadratic equations. According to one history, ""[i]t is not certain just what the terms al-jabr and muqabalah mean, but the usual interpretation is similar to that implied in the previous translation. The word 'al-jabr' presumably meant something like 'restoration' or 'completion' and seems to refer to the transposition of subtracted terms to the other side of an equation; the word 'muqabalah' is said to refer to 'reduction' or 'balancing'—that is, the cancellation of like terms on opposite sides of the equation. Arabic influence in Spain long after the time of al-Khwarizmi is found in Don Quixote, where the word 'algebrista' is used for a bone-setter, that is, a 'restorer'."" The term is used by al-Khwarizmi to describe the operations that he introduced, ""reduction"" and ""balancing"", referring to the transposition of subtracted terms to the other side of an equation, that is, the cancellation of like terms on opposite sides of the equation.

Stages of algebra
Algebraic expression
Algebra did not always make use of the symbolism that is now ubiquitous in mathematics; instead, it went through three distinct stages.",9550030,History of algebra,M
What stages did algebra go through?,"Symbolism, computation, solution","Arithmetic, geometry, equations","Manipulation, reduction, completion","Greek, Persian, Arabic","Addition, subtraction, multiplication",option_3,"Algebra can essentially be considered as doing computations similar to those of arithmetic but with non-numerical mathematical objects. However, until the 19th century, algebra consisted essentially of the theory of equations. For example, the fundamental theorem of algebra belongs to the theory of equations and is not, nowadays, considered as belonging to algebra (in fact, every proof must use the completeness of the real numbers, which is not an algebraic property).
This article describes the history of the theory of equations, called here ""algebra"", from the origins to the emergence of algebra as a separate area of mathematics.

Etymology
The word ""algebra"" is derived from the Arabic word الجبر al-jabr, and this comes from the treatise written in the year 830 by the medieval Persian mathematician, Muhammad ibn Mūsā al-Khwārizmī, whose Arabic title, Kitāb al-muḫtaṣar fī ḥisāb al-ğabr wa-l-muqābala, can be translated as The Compendious Book on Calculation by Completion and Balancing. The treatise provided for the systematic solution of linear and quadratic equations. According to one history, ""[i]t is not certain just what the terms al-jabr and muqabalah mean, but the usual interpretation is similar to that implied in the previous translation. The word 'al-jabr' presumably meant something like 'restoration' or 'completion' and seems to refer to the transposition of subtracted terms to the other side of an equation; the word 'muqabalah' is said to refer to 'reduction' or 'balancing'—that is, the cancellation of like terms on opposite sides of the equation. Arabic influence in Spain long after the time of al-Khwarizmi is found in Don Quixote, where the word 'algebrista' is used for a bone-setter, that is, a 'restorer'."" The term is used by al-Khwarizmi to describe the operations that he introduced, ""reduction"" and ""balancing"", referring to the transposition of subtracted terms to the other side of an equation, that is, the cancellation of like terms on opposite sides of the equation.

Stages of algebra
Algebraic expression
Algebra did not always make use of the symbolism that is now ubiquitous in mathematics; instead, it went through three distinct stages.",9550030,History of algebra,M
What are some of the components that tower climbers work with?,"Satellite dishes, cables, and routers","Coaxial cable, antennas, and radios","Computers, keyboards, and monitors","Microphones, cameras, and lighting equipment","Printers, scanners, and fax machines",option_2,"A tower climber specialize in maintenance, installation, and decommissioning of cellular and radio tower components such as coaxial cable, antennas, radios, fiber optic cable and broadcast equipment for cell phones, television, radio, etc.

Description
Tower climbers perform routine inspections and tests on broadcasting towers, and may also be called upon to perform repairs and to provide input when plans for new equipment are being developed.
Along with the installers of the tower antennas, other crews climb the towers to perform condition checks of the towers, guy lines and lighting systems. One of the most demanding aspects of many tower climber jobs is hauling materials and tools up to the proper installation height on the tower. In most cases, the climber scales the tower to the desired height and lowers a rope to a ground crew member who then ties it to a needed part on the ground. The tower worker then pulls the piece up and secures the rope before installing the part onto the tower.

Hazards
Tower climbers may be injured or killed by falling objects, structural collapses and equipment failures. Some of the more frequently encountered hazards include falls from great heights; electrical hazards; hazards associated with hoisting personnel and equipment with base-mounted drum hoists; inclement weather; and structural collapse of towers.

United States
Working on cellphone towers is the deadliest job in the United States, according to a trade publication, and it has been claimed that the tower climbing industry experiences 10 times more death casualties than the construction workers. There were 50 - 100 deaths from falls from communication towers between 2003 and 2011. The head of the Occupational Safety and Health Administration (OSHA) once called tower climbing “the most dangerous job in America.”


== References ==.",43148379,Tower climber,T
What are some tasks that tower climbers perform?,Building and painting towers,Testing and repairing broadcasting towers,Installing and maintaining satellite dishes,Programming and troubleshooting routers,Operating and maintaining camera equipment,option_2,"A tower climber specialize in maintenance, installation, and decommissioning of cellular and radio tower components such as coaxial cable, antennas, radios, fiber optic cable and broadcast equipment for cell phones, television, radio, etc.

Description
Tower climbers perform routine inspections and tests on broadcasting towers, and may also be called upon to perform repairs and to provide input when plans for new equipment are being developed.
Along with the installers of the tower antennas, other crews climb the towers to perform condition checks of the towers, guy lines and lighting systems. One of the most demanding aspects of many tower climber jobs is hauling materials and tools up to the proper installation height on the tower. In most cases, the climber scales the tower to the desired height and lowers a rope to a ground crew member who then ties it to a needed part on the ground. The tower worker then pulls the piece up and secures the rope before installing the part onto the tower.

Hazards
Tower climbers may be injured or killed by falling objects, structural collapses and equipment failures. Some of the more frequently encountered hazards include falls from great heights; electrical hazards; hazards associated with hoisting personnel and equipment with base-mounted drum hoists; inclement weather; and structural collapse of towers.

United States
Working on cellphone towers is the deadliest job in the United States, according to a trade publication, and it has been claimed that the tower climbing industry experiences 10 times more death casualties than the construction workers. There were 50 - 100 deaths from falls from communication towers between 2003 and 2011. The head of the Occupational Safety and Health Administration (OSHA) once called tower climbing “the most dangerous job in America.”


== References ==.",43148379,Tower climber,T
What is one of the most challenging aspects of tower climber jobs?,Scaling the tower to the desired height,Performing routine inspections and tests,Providing input for new equipment plans,Checking the condition of guy lines and lighting systems,Hauling materials and tools up the tower,option_5,"A tower climber specialize in maintenance, installation, and decommissioning of cellular and radio tower components such as coaxial cable, antennas, radios, fiber optic cable and broadcast equipment for cell phones, television, radio, etc.

Description
Tower climbers perform routine inspections and tests on broadcasting towers, and may also be called upon to perform repairs and to provide input when plans for new equipment are being developed.
Along with the installers of the tower antennas, other crews climb the towers to perform condition checks of the towers, guy lines and lighting systems. One of the most demanding aspects of many tower climber jobs is hauling materials and tools up to the proper installation height on the tower. In most cases, the climber scales the tower to the desired height and lowers a rope to a ground crew member who then ties it to a needed part on the ground. The tower worker then pulls the piece up and secures the rope before installing the part onto the tower.

Hazards
Tower climbers may be injured or killed by falling objects, structural collapses and equipment failures. Some of the more frequently encountered hazards include falls from great heights; electrical hazards; hazards associated with hoisting personnel and equipment with base-mounted drum hoists; inclement weather; and structural collapse of towers.

United States
Working on cellphone towers is the deadliest job in the United States, according to a trade publication, and it has been claimed that the tower climbing industry experiences 10 times more death casualties than the construction workers. There were 50 - 100 deaths from falls from communication towers between 2003 and 2011. The head of the Occupational Safety and Health Administration (OSHA) once called tower climbing “the most dangerous job in America.”


== References ==.",43148379,Tower climber,T
What are some of the hazards tower climbers may encounter?,Falls from great heights and electrical hazards,Chemical exposure and fire hazards,Loud noises and repetitive motion injuries,Exposure to extreme temperatures and dust,Traffic accidents and animal bites,option_1,"A tower climber specialize in maintenance, installation, and decommissioning of cellular and radio tower components such as coaxial cable, antennas, radios, fiber optic cable and broadcast equipment for cell phones, television, radio, etc.

Description
Tower climbers perform routine inspections and tests on broadcasting towers, and may also be called upon to perform repairs and to provide input when plans for new equipment are being developed.
Along with the installers of the tower antennas, other crews climb the towers to perform condition checks of the towers, guy lines and lighting systems. One of the most demanding aspects of many tower climber jobs is hauling materials and tools up to the proper installation height on the tower. In most cases, the climber scales the tower to the desired height and lowers a rope to a ground crew member who then ties it to a needed part on the ground. The tower worker then pulls the piece up and secures the rope before installing the part onto the tower.

Hazards
Tower climbers may be injured or killed by falling objects, structural collapses and equipment failures. Some of the more frequently encountered hazards include falls from great heights; electrical hazards; hazards associated with hoisting personnel and equipment with base-mounted drum hoists; inclement weather; and structural collapse of towers.

United States
Working on cellphone towers is the deadliest job in the United States, according to a trade publication, and it has been claimed that the tower climbing industry experiences 10 times more death casualties than the construction workers. There were 50 - 100 deaths from falls from communication towers between 2003 and 2011. The head of the Occupational Safety and Health Administration (OSHA) once called tower climbing “the most dangerous job in America.”


== References ==.",43148379,Tower climber,T
"According to a trade publication, what has been claimed about tower climbing as a job?",It is the most physically demanding job in America,It is the highest paying job in the United States,It is the fastest growing job industry in the country,It experiences 10 times more death casualties than construction workers,It has the highest job satisfaction rate among all professions,option_4,"A tower climber specialize in maintenance, installation, and decommissioning of cellular and radio tower components such as coaxial cable, antennas, radios, fiber optic cable and broadcast equipment for cell phones, television, radio, etc.

Description
Tower climbers perform routine inspections and tests on broadcasting towers, and may also be called upon to perform repairs and to provide input when plans for new equipment are being developed.
Along with the installers of the tower antennas, other crews climb the towers to perform condition checks of the towers, guy lines and lighting systems. One of the most demanding aspects of many tower climber jobs is hauling materials and tools up to the proper installation height on the tower. In most cases, the climber scales the tower to the desired height and lowers a rope to a ground crew member who then ties it to a needed part on the ground. The tower worker then pulls the piece up and secures the rope before installing the part onto the tower.

Hazards
Tower climbers may be injured or killed by falling objects, structural collapses and equipment failures. Some of the more frequently encountered hazards include falls from great heights; electrical hazards; hazards associated with hoisting personnel and equipment with base-mounted drum hoists; inclement weather; and structural collapse of towers.

United States
Working on cellphone towers is the deadliest job in the United States, according to a trade publication, and it has been claimed that the tower climbing industry experiences 10 times more death casualties than the construction workers. There were 50 - 100 deaths from falls from communication towers between 2003 and 2011. The head of the Occupational Safety and Health Administration (OSHA) once called tower climbing “the most dangerous job in America.”


== References ==.",43148379,Tower climber,T
What is the primary material used to make bricks?,Concrete,Clay,Stone,Wood,Metal,option_2,"A brick is a type of construction material used to build walls, pavements and other elements in masonry construction. Properly, the term brick denotes a unit primarily composed of clay, but is now also used informally to denote units made of other materials or other chemically cured construction blocks. Bricks can be joined using mortar, adhesives or by interlocking. Bricks are usually produced at brickworks in numerous classes, types, materials, and sizes which vary with region, and are produced in bulk quantities.Block is a similar term referring to a rectangular building unit composed of clay or concrete, but is usually larger than a brick. Lightweight bricks (also called lightweight blocks) are made from expanded clay aggregate.
Fired bricks are one of the longest-lasting and strongest building materials, sometimes referred to as artificial stone, and have been used since circa 4000 BC. Air-dried bricks, also known as mud-bricks, have a history older than fired bricks, and have an additional ingredient of a mechanical binder such as straw.
Bricks are laid in courses and numerous patterns known as bonds, collectively known as brickwork, and may be laid in various kinds of mortar to hold the bricks together to make a durable structure.

History
Middle East and South Asia
The earliest bricks were dried mud-bricks, meaning that they were formed from clay-bearing earth or mud and dried (usually in the sun) until they were strong enough for use. The oldest discovered bricks, originally made from shaped mud and dating before 7500 BC, were found at Tell Aswad, in the upper Tigris region and in southeast Anatolia close to Diyarbakir.Mud-brick construction was used at Çatalhöyük, from c.",4526,Brick,E
What are lightweight bricks made from?,Concrete,Clay,Stone,Wood,Expanded clay aggregate,option_5,"A brick is a type of construction material used to build walls, pavements and other elements in masonry construction. Properly, the term brick denotes a unit primarily composed of clay, but is now also used informally to denote units made of other materials or other chemically cured construction blocks. Bricks can be joined using mortar, adhesives or by interlocking. Bricks are usually produced at brickworks in numerous classes, types, materials, and sizes which vary with region, and are produced in bulk quantities.Block is a similar term referring to a rectangular building unit composed of clay or concrete, but is usually larger than a brick. Lightweight bricks (also called lightweight blocks) are made from expanded clay aggregate.
Fired bricks are one of the longest-lasting and strongest building materials, sometimes referred to as artificial stone, and have been used since circa 4000 BC. Air-dried bricks, also known as mud-bricks, have a history older than fired bricks, and have an additional ingredient of a mechanical binder such as straw.
Bricks are laid in courses and numerous patterns known as bonds, collectively known as brickwork, and may be laid in various kinds of mortar to hold the bricks together to make a durable structure.

History
Middle East and South Asia
The earliest bricks were dried mud-bricks, meaning that they were formed from clay-bearing earth or mud and dried (usually in the sun) until they were strong enough for use. The oldest discovered bricks, originally made from shaped mud and dating before 7500 BC, were found at Tell Aswad, in the upper Tigris region and in southeast Anatolia close to Diyarbakir.Mud-brick construction was used at Çatalhöyük, from c.",4526,Brick,E
Which type of brick is considered one of the strongest building materials?,Fired bricks,Lightweight bricks,Air-dried bricks,Mud-bricks,Artificial stone,option_1,"A brick is a type of construction material used to build walls, pavements and other elements in masonry construction. Properly, the term brick denotes a unit primarily composed of clay, but is now also used informally to denote units made of other materials or other chemically cured construction blocks. Bricks can be joined using mortar, adhesives or by interlocking. Bricks are usually produced at brickworks in numerous classes, types, materials, and sizes which vary with region, and are produced in bulk quantities.Block is a similar term referring to a rectangular building unit composed of clay or concrete, but is usually larger than a brick. Lightweight bricks (also called lightweight blocks) are made from expanded clay aggregate.
Fired bricks are one of the longest-lasting and strongest building materials, sometimes referred to as artificial stone, and have been used since circa 4000 BC. Air-dried bricks, also known as mud-bricks, have a history older than fired bricks, and have an additional ingredient of a mechanical binder such as straw.
Bricks are laid in courses and numerous patterns known as bonds, collectively known as brickwork, and may be laid in various kinds of mortar to hold the bricks together to make a durable structure.

History
Middle East and South Asia
The earliest bricks were dried mud-bricks, meaning that they were formed from clay-bearing earth or mud and dried (usually in the sun) until they were strong enough for use. The oldest discovered bricks, originally made from shaped mud and dating before 7500 BC, were found at Tell Aswad, in the upper Tigris region and in southeast Anatolia close to Diyarbakir.Mud-brick construction was used at Çatalhöyük, from c.",4526,Brick,E
What is the term for a rectangular building unit composed of clay or concrete?,Brickwork,Block,Mortar,Adhesive,Binder,option_2,"A brick is a type of construction material used to build walls, pavements and other elements in masonry construction. Properly, the term brick denotes a unit primarily composed of clay, but is now also used informally to denote units made of other materials or other chemically cured construction blocks. Bricks can be joined using mortar, adhesives or by interlocking. Bricks are usually produced at brickworks in numerous classes, types, materials, and sizes which vary with region, and are produced in bulk quantities.Block is a similar term referring to a rectangular building unit composed of clay or concrete, but is usually larger than a brick. Lightweight bricks (also called lightweight blocks) are made from expanded clay aggregate.
Fired bricks are one of the longest-lasting and strongest building materials, sometimes referred to as artificial stone, and have been used since circa 4000 BC. Air-dried bricks, also known as mud-bricks, have a history older than fired bricks, and have an additional ingredient of a mechanical binder such as straw.
Bricks are laid in courses and numerous patterns known as bonds, collectively known as brickwork, and may be laid in various kinds of mortar to hold the bricks together to make a durable structure.

History
Middle East and South Asia
The earliest bricks were dried mud-bricks, meaning that they were formed from clay-bearing earth or mud and dried (usually in the sun) until they were strong enough for use. The oldest discovered bricks, originally made from shaped mud and dating before 7500 BC, were found at Tell Aswad, in the upper Tigris region and in southeast Anatolia close to Diyarbakir.Mud-brick construction was used at Çatalhöyük, from c.",4526,Brick,E
What is the additional ingredient in air-dried bricks?,Straw,Concrete,Clay,Stone,Wood,option_1,"A brick is a type of construction material used to build walls, pavements and other elements in masonry construction. Properly, the term brick denotes a unit primarily composed of clay, but is now also used informally to denote units made of other materials or other chemically cured construction blocks. Bricks can be joined using mortar, adhesives or by interlocking. Bricks are usually produced at brickworks in numerous classes, types, materials, and sizes which vary with region, and are produced in bulk quantities.Block is a similar term referring to a rectangular building unit composed of clay or concrete, but is usually larger than a brick. Lightweight bricks (also called lightweight blocks) are made from expanded clay aggregate.
Fired bricks are one of the longest-lasting and strongest building materials, sometimes referred to as artificial stone, and have been used since circa 4000 BC. Air-dried bricks, also known as mud-bricks, have a history older than fired bricks, and have an additional ingredient of a mechanical binder such as straw.
Bricks are laid in courses and numerous patterns known as bonds, collectively known as brickwork, and may be laid in various kinds of mortar to hold the bricks together to make a durable structure.

History
Middle East and South Asia
The earliest bricks were dried mud-bricks, meaning that they were formed from clay-bearing earth or mud and dried (usually in the sun) until they were strong enough for use. The oldest discovered bricks, originally made from shaped mud and dating before 7500 BC, were found at Tell Aswad, in the upper Tigris region and in southeast Anatolia close to Diyarbakir.Mud-brick construction was used at Çatalhöyük, from c.",4526,Brick,E
What is entropy?,A scientific concept associated with disorder and randomness,A measurable physical property,A concept used in diverse fields,A term used in information theory,All of the above,option_5,"Entropy is a scientific concept, as well as a measurable physical property, that is most commonly associated with a state of disorder, randomness, or uncertainty. The term and the concept are used in diverse fields, from classical thermodynamics, where it was first recognized, to the microscopic description of nature in statistical physics, and to the principles of information theory. It has found far-ranging applications in chemistry and physics, in biological systems and their relation to life, in cosmology, economics, sociology, weather science, climate change, and information systems including the transmission of information in telecommunication.The thermodynamic concept was referred to by Scottish scientist and engineer William Rankine in 1850 with the names thermodynamic function and heat-potential. In 1865, German physicist Rudolf Clausius, one of the leading founders of the field of thermodynamics, defined it as the quotient of an infinitesimal amount of heat to the instantaneous temperature. He initially described it as transformation-content, in German Verwandlungsinhalt, and later coined the term entropy from a Greek word for transformation. Referring to microscopic constitution and structure, in 1862, Clausius interpreted the concept as meaning disgregation.Entropy is central to the second law of thermodynamics, which states that the entropy of an isolated system left to spontaneous evolution cannot decrease with time. As a result, isolated systems evolve toward thermodynamic equilibrium, where the entropy is highest.",9891,Entropy,M
